rule_id,season,year,status,item_type,proposal_number,proposer,rulebook_ref,summary,effect,reason,category,mechanism,affected_phase,affected_party,temporality,source_kind,source_key,source_url,source_section,extraction_method,confidence
nfl-2023-approved-playing-rule-3-f9a21d75,2023,2023,approved,playing_rule,3,Los Angeles Chargers,"Rule 4, Section 6, Article 3","amends Rule 4, Section 6, Article 3 and Section 7, Article 4, to make the adjustment of the play clock following an Instant Replay reversal consistent with other timing rules.",,,officiating,review_or_officiating_authority,game_administration,officials/league,permanent_or_unspecified,official_summary,nflops_approved_2023,https://operations.nfl.com/updates/the-rules/approved-2023-playing-rules/,By Clubs,html_summary,0.9
nfl-2023-approved-playing-rule-7-ce1ddf76,2023,2023,approved,playing_rule,7,Houston,"Rule 15, Section 1, Article 2","amends Rule 15, Section 1, Article 2, to expand the Replay Official's jurisdiction to allow for review on failed fourth down attempts.",,,officiating,review_or_officiating_authority,game_administration,officials/league,permanent_or_unspecified,official_summary,nflops_approved_2023,https://operations.nfl.com/updates/the-rules/approved-2023-playing-rules/,By Clubs,html_summary,0.9
nfl-2023-proposed-playing-rule-1-e42847ba,2023,2023,proposed,playing_rule,1,Competition Committee,,to change the definition of a launch to leaving one or both feet.,,,player_safety,prohibit_contact_technique,contact,players,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,COMPETITION COMMITTEE RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-1-657e10bc,2023,2023,proposed,playing_rule,1,Philadelphia,"Rule 5, Section 1, Article 2","amends Rule 5, Section 1, Article 2, to permit the use of zero (""0"") as a jersey numeral; to allow kickers and punters to use any jersey numeral between 0-49 and 90-99.",,,equipment_identity,rule_text_change,roster/equipment,players,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,CLUB PLAYING RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-2-8e54871b,2023,2023,proposed,playing_rule,2,Competition Committee,,to make the penalty for tripping a personal foul.,,,player_safety,prohibit_contact_technique,contact,players,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,COMPETITION COMMITTEE RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-2-7b78d726,2023,2023,proposed,playing_rule,2,Philadelphia,"Rule 6, Section 1","amends Rule 6, Section 1, to permit a team to maintain possession of the ball after a score by substituting one offensive play (4th-and-20 from the kicking team's 20-yard line) for an onside kickoff attempt.",,,special_teams,rule_text_change,kickoff,kicking_team/receiving_team,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,CLUB PLAYING RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-3-eb6717ff,2023,2023,proposed,playing_rule,3,Competition Committee,,"to make the penalty for illegally handing the ball forward consistent with other illegal acts, such as illegal forward passes.",,,gameplay,rule_text_change,general,league,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,COMPETITION COMMITTEE RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-3-1306b640,2023,2023,proposed,playing_rule,3,Los Angeles Chargers,"Rule 4, Section 6, Article 3","amends Rule 4, Section 6, Article 3 and Section 7, Article 4, to make the adjustment of the play clock following an instant replay reversal consistent with other timing rules.",,,officiating,review_or_officiating_authority,game_administration,officials/league,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,CLUB PLAYING RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-4-b547f295,2023,2023,proposed,playing_rule,4,Competition Committee,,"to make the penalty for illegal punts, drop kicks, or placekicks consistent with other illegal acts, such as illegal forward passes.",,,gameplay,rule_text_change,general,league,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,COMPETITION COMMITTEE RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-4-e46ef70c,2023,2023,proposed,playing_rule,4,Detroit,"Rule 15, Section 3, Article 9","amends Rule 15, Section 3, Article 9, to expand the coaches' challenge system to include personal fouls called on the field.",,,officiating,review_or_officiating_authority,game_administration,officials/league,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,CLUB PLAYING RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-5-564602f9,2023,2023,proposed,playing_rule,5,Competition Committee,,to put the ball in play at the receiving team’s 25-yard line when a touchback occurs from a punt.,,,special_teams,rule_text_change,kickoff,kicking_team/receiving_team,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,COMPETITION COMMITTEE RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-5-734fb4bf,2023,2023,proposed,playing_rule,5,Detroit,"Rule 15, Section 1","amends Rule 15, Section 1, to provide clubs more opportunities for a third challenge.",,,officiating,review_or_officiating_authority,game_administration,officials/league,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,CLUB PLAYING RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-6-4430c8e3,2023,2023,proposed,playing_rule,6,Competition Committee,,to prevent the offense from benefitting by an extension of the half as a result of their foul.,,,gameplay,rule_text_change,general,league,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,COMPETITION COMMITTEE RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-6-00fe50da,2023,2023,proposed,playing_rule,6,Detroit,"Rule 15, Section 3","amends Rule 15, Section 3, to expand the replay official's jurisdiction to allow for consultation regarding penalty assessment.",,,officiating,review_or_officiating_authority,game_administration,officials/league,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,CLUB PLAYING RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-7-1805ee6c,2023,2023,proposed,playing_rule,7,Competition Committee,,to put the ball in play at the receiving team’s 25-yard line if there is a fair catch on a free kick (kickoff and safety kick) behind the receiving team’s 25-yard line.,,,special_teams,rule_text_change,kickoff,kicking_team/receiving_team,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,COMPETITION COMMITTEE RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-7-553416e8,2023,2023,proposed,playing_rule,7,Houston,"Rule 15, Section 1, Article 2","amends Rule 15, Section 1, Article 2, to expand the replay official's jurisdiction to allow for review on failed fourth-down attempts.",,,officiating,review_or_officiating_authority,game_administration,officials/league,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,CLUB PLAYING RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-8-01624077,2023,2023,proposed,playing_rule,8,Competition Committee,,"to clarify use of the helmet against an opponent by removing the “butt, ram, spear” language from Article 8 and incorporating those actions into Impermissible Use of the Helmet.",,,player_safety,prohibit_contact_technique,contact,players,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,COMPETITION COMMITTEE RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-8-ee48f28a,2023,2023,proposed,playing_rule,8,Los Angeles Rams,"Rule 15, Section 1","amends Rule 15, Section 1 and Section 3, to make fouls for roughing the passer called on the field subject to replay assist and/or review by a coach's challenge.",,,officiating,review_or_officiating_authority,game_administration,officials/league,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,CLUB PLAYING RULES PROPOSALS,html_summary,0.9
nfl-2023-proposed-playing-rule-9-ab1b281e,2023,2023,proposed,playing_rule,9,New York Jets,"Rule 12, Section 2, Article 6","amends Rule 12, Section 2, Article 6, to expand the crackback prohibition to players who go in motion and go beyond the center to block (""split-flow block"") a defender below the waist.",,,player_safety,prohibit_contact_technique,contact,players,permanent_or_unspecified,official_summary,nflops_proposals_2023,https://operations.nfl.com/updates/the-rules/2023-rules-change-proposals/,CLUB PLAYING RULES PROPOSALS,html_summary,0.9
nfl-2024-approved-playing-rule-1-b0908ec2,2024,2024,approved,playing_rule,1,Detroit,"Rule 15, Section 1, Article 1","amends Rule 15, Section 1, Article 1 , to protect a club’s ability to challenge a third ruling following one successful challenge.",,,officiating,review_or_officiating_authority,game_administration,officials/league,permanent_or_unspecified,official_summary,nflops_approved_2024,https://operations.nfl.com/updates/the-rules/approved-2024-playing-rules/,By Clubs,html_summary,0.9
nfl-2024-approved-playing-rule-1-b970bc09,2024,2024,approved,playing_rule,1,Competition Committee,"Rule 14, Section 5, Article 2","amends Rule 14, Section 5, Article 2 , to allow for an enforcement of a major foul by the offense prior to a change of possession in a situation where there are fouls by both teams.",,,gameplay,rule_text_change,general,league,permanent_or_unspecified,official_summary,nflops_approved_2024,https://operations.nfl.com/updates/the-rules/approved-2024-playing-rules/,By Competition Committee,html_summary,0.9
nfl-2024-approved-playing-rule-2-6eb04967,2024,2024,approved,playing_rule,2,Competition Committee,"Rule 15, Section 3, Article 3","amends Rule 15, Section 3, Article 3 , to include a ruling of a passer down by contact or out of bounds before throwing a pass as a reviewable play.",,,officiating,review_or_officiating_authority,game_administration,officials/league,permanent_or_unspecified,official_summary,nflops_approved_2024,https://operations.nfl.com/updates/the-rules/approved-2024-playing-rules/,By Competition Committee,html_summary,0.9
nfl-2024-approved-playing-rule-3-83f96d00,2024,2024,approved,playing_rule,3,Competition Committee,"Rule 15, Section 3, Article 9","amends Rule 15, Section 3, Article 9 , to allow a replay review when there is clear and obvious visual evidence that the game clock expired before any snap.",,,officiating,review_or_officiating_authority,game_administration,officials/league,permanent_or_unspecified,official_summary,nflops_approved_2024,https://operations.nfl.com/updates/the-rules/approved-2024-playing-rules/,By Competition Committee,html_summary,0.9
nfl-2024-approved-playing-rule-4-10074132,2024,2024,approved,playing_rule,4,Competition Committee,"Rule 12, Section 2","amends Rule 12, Section 2 , to eliminate a potentially dangerous tackling technique.",,,player_safety,prohibit_contact_technique,contact,players,permanent_or_unspecified,official_summary,nflops_approved_2024,https://operations.nfl.com/updates/the-rules/approved-2024-playing-rules/,By Competition Committee,html_summary,0.9
nfl-2024-approved-playing-rule-5-8010c9ca,2024,2024,approved,playing_rule,5,Competition Committee,Rule 6,"for one year only , amends Rule 6 , to create a new form of a free kick play that is designed to: (1) resemble a typical scrimmage play by aligning players on both teams closer together and restricting movement to reduce space and speed; and (2) promote more returns. Permits the Replay Official automatically review whether a free kick legally touched the ground or a receiving team player in the landing zone.",,,special_teams,rule_text_change,kickoff,kicking_team/receiving_team,one_year_trial,official_summary,nflops_approved_2024,https://operations.nfl.com/updates/the-rules/approved-2024-playing-rules/,By Competition Committee,html_summary,0.9
nfl-2025-approved-bylaw-1-e27db1c0,2025,2025,approved,bylaw,1,Competition Committee,"Article XVII, Section 17.16; Article XVII","amends Article XVII, Section 17.16 of the Constitution and Bylaws, to permit clubs to designate two players for return at the roster reduction to 53 players.",,,roster_management,rule_text_change,roster,clubs/players,permanent_or_unspecified,official_summary,nflops_approved_2025,https://operations.nfl.com/updates/the-rules/approved-2025-playing-rules-bylaws-and-resolutions/,2025 Approved Bylaws Summary,html_summary,0.9
nfl-2025-approved-bylaw-2-c010116b,2025,2025,approved,bylaw,2,Competition Committee,"Article XVII, Section 17.16; Article XVII","amends Article XVII, Section 17.16 of the Constitution and Bylaws, to permit clubs participating in the postseason to receive two additional DFRs increasing the maximum from 8 to 10.",,,roster_management,rule_text_change,roster,clubs/players,permanent_or_unspecified,official_summary,nflops_approved_2025,https://operations.nfl.com/updates/the-rules/approved-2025-playing-rules-bylaws-and-resolutions/,2025 Approved Bylaws Summary,html_summary,0.9
nfl-2025-approved-bylaw-3-33da97be,2025,2025,approved,bylaw,3,Competition Committee,"Article XVIII, Section 18.5; Article XVIII","amends Article XVIII, Section 18.5 of the Constitution and Bylaws, to insert Point Differential as the third tiebreaker for awarding contracts.",,,club_business_rules,rule_text_change,league_business,clubs,permanent_or_unspecified,official_summary,nflops_approved_2025,https://operations.nfl.com/updates/the-rules/approved-2025-playing-rules-bylaws-and-resolutions/,2025 Approved Bylaws Summary,html_summary,0.9
nfl-2025-approved-playing-rule-1-a-dc31b08f,2025,2025,approved,playing_rule,1-A,Competition Committee,Rule 6,"amends Rule 6 , to make permanent the new form of free kick play implemented in 2024 designed to 1) resemble a typical scrimmage play by aligning players on both teams closer together and restricting movement to reduce space and speed and 2) promote more returns, subject to the following changes: (a) modifies the alignment requirements for receiving team players in the setup zone; (b) changes the dead ball spot after a touchback to the 35-yard line if the ball lands in the end zone and is downed in the end zone by the receiving team or goes out of bounds behind the receiving team’s goal line.",,,special_teams,rule_text_change,kickoff,kicking_team/receiving_team,made_permanent,official_summary,nflops_approved_2025,https://operations.nfl.com/updates/the-rules/approved-2025-playing-rules-bylaws-and-resolutions/,2025 Approved Playing Rules Summary,html_summary,0.9
nfl-2025-approved-playing-rule-15-9-27bc52f5,2025,2025,approved,playing_rule,15-9,,15-9,"Expands Instant Replay’s ability to advise the on-field officials on specific, objective aspects of a play and/or to address game administration issues when clear and obvious video evidence is present.","Expands Instant Replay’s ability to advise the on-field officials on specific, objective aspects of a play and/or to address game administration issues when clear and obvious video evidence is present.",,officiating,review_or_officiating_authority,game_administration,officials/league,permanent_or_unspecified,official_rulebook_change_list,nflops_rulebook_2025_changes,https://operations.nfl.com/the-rules/nfl-rulebook/,2025 Rule Changes,rulebook_change_list,0.96
nfl-2025-approved-playing-rule-15-9-dbca0e89,2025,2025,approved,playing_rule,15-9,,15-9,"Expands Instant Replay’s ability to advise the on- field officials on specific, objective aspects of a play and/or to address g ame administration issues when clear and obvious video evidence is present.","Expands Instant Replay’s ability to advise the on- field officials on specific, objective aspects of a play and/or to address g ame administration issues when clear and obvious video evidence is present.",,officiating,review_or_officiating_authority,game_administration,officials/league,permanent_or_unspecified,official_rulebook_pdf_change_list,nflops_rulebook_2025_pdf,https://operations.nfl.com/media/e4sneelu/2025-nfl-rulebook-final.pdf,2025 Rules Changes,pdf_rulebook_change_list,0.98
nfl-2025-approved-playing-rule-16-1-3-42bc30c4,2025,2025,approved,playing_rule,16-1-3,,16-1-3,"Modifies overtime in regular season to allow both teams an opportunity to possess the ball regardless of the outcome of the first possession, subject to a 10-minute overtime period.","Modifies overtime in regular season to allow both teams an opportunity to possess the ball regardless of the outcome of the first possession, subject to a 10-minute overtime period.",,competitive_equity,rule_text_change,overtime,both_teams,permanent_or_unspecified,official_rulebook_change_list,nflops_rulebook_2025_changes,https://operations.nfl.com/the-rules/nfl-rulebook/,2025 Rule Changes,rulebook_change_list,0.96
nfl-2025-approved-playing-rule-16-1-3-c23dbdbc,2025,2025,approved,playing_rule,16-1-3,,16-1-3,"Modifies overtime in regular season to allow both teams an opportunity to possess the ball regardless of the outcome of the first possession, subject to a 10-minute overtime period.","Modifies overtime in regular season to allow both teams an opportunity to possess the ball regardless of the outcome of the first possession, subject to a 10-minute overtime period.",,competitive_equity,rule_text_change,overtime,both_teams,permanent_or_unspecified,official_rulebook_pdf_change_list,nflops_rulebook_2025_pdf,https://operations.nfl.com/media/e4sneelu/2025-nfl-rulebook-final.pdf,2025 Rules Changes,pdf_rulebook_change_list,0.98
nfl-2025-approved-playing-rule-2-a-89e3583e,2025,2025,approved,playing_rule,2-A,Philadelphia,,"aligns the postseason and regular season overtime rules by granting both teams an opportunity to possess the ball regardless of the outcome of the first possession, subject to a 10-minute overtime period in the regular season.",,,competitive_equity,rule_text_change,overtime,both_teams,permanent_or_unspecified,official_summary,nflops_approved_2025,https://operations.nfl.com/updates/the-rules/approved-2025-playing-rules-bylaws-and-resolutions/,2025 Approved Playing Rules Summary,html_summary,0.9
nfl-2025-approved-playing-rule-3-d0482303,2025,2025,approved,playing_rule,3,Competition Committee,Rule 15,"amends Rule 15 , to expand Instant Replay’s ability to advise the on-field officials on specific, objective aspects of a play and/or to address game administration issues when clear and obvious video evidence is present.",,,officiating,review_or_officiating_authority,game_administration,officials/league,permanent_or_unspecified,official_summary,nflops_approved_2025,https://operations.nfl.com/updates/the-rules/approved-2025-playing-rules-bylaws-and-resolutions/,2025 Approved Playing Rules Summary,html_summary,0.9
